Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Daunorubicin,LINCSCP_55314,U937,1uM,24h,4,0.25554108,NA,NA,NA
HMN-214,LINCSCP_70601,A375,0.04uM,24h,NA,0.25546848,NA,NA,NA
AC1L1JM9,LINCSCP_7707,A549,10uM,6h,NA,0.25544453,NA,-0.29885518,NA
Meisoindigo,LINCSCP_92769,HA1E,10uM,24h,NA,0.25542197,NA,NA,-0.21340695
AZD-5438,LINCSCP_78783,A375,10uM,24h,1,0.25515696,NA,NA,NA
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",LINCSCP_68928,VCAP,10uM,24h,NA,0.25509462,NA,NA,NA
SCHEMBL5345535,LINCSCP_43338,NPC,10uM,6h,NA,0.25496887,0.29471013,NA,-0.38573289
Andrographolide,LINCSCP_172358,YAPC,10uM,24h,NA,0.25490579,NA,NA,NA
CEP-701,LINCSCP_71137,A375,0.12uM,24h,NA,0.25477657,NA,NA,NA
BRD-K36134449,LINCSCP_4070,A375,5uM,24h,NA,0.2546993,NA,NA,NA
Rebastinib,LINCSCP_83159,ASC.C,3.33uM,24h,2,0.25468202,NA,NA,NA
Nafronyl,LINCSCP_14653,HA1E,10uM,24h,NA,0.25446853,NA,NA,NA
sorafenib,LINCSCP_11723,BT20,10uM,24h,NA,0.25427301,NA,NA,NA
BIBR-1532,LINCSCP_57052,VCAP,80uM,6h,NA,0.25427199,NA,NA,NA
Idelalisib,LINCSCP_147696,NPC.CAS9,0.37uM,24h,4,0.25424753,NA,NA,NA
KUC107191N,LINCSCP_24159,HL60,10uM,6h,NA,0.25411652,NA,-0.28158457,NA
BDBM50127227,LINCSCP_4244,A549,10uM,24h,NA,0.25383671,NA,NA,NA
SB-203580,LINCSCP_37974,MCF7,1uM,6h,NA,0.25377201,NA,NA,NA
"Epothilone B (EPO906, Patupilone)",LINCSCP_78554,A375,0.12uM,24h,NA,0.25376072,0.24192783,NA,NA
STK219801,LINCSCP_88784,HA1E,10uM,24h,NA,0.25365005,NA,NA,NA
XL335,LINCSCP_120315,HT29,0.12uM,24h,1,0.25347769,NA,-0.2650812,NA
CID755673,LINCSCP_57263,VCAP,10uM,24h,NA,0.25342474,NA,NA,NA
Tivantinib,LINCSCP_69699,A375,0.37uM,24h,3,0.25318209,NA,NA,-0.29345356
BRD-K48598367,LINCSCP_63167,VCAP,5uM,6h,NA,0.25316716,NA,-0.29718714,NA
ZM-39923,LINCSCP_307,A375,10uM,24h,NA,0.25300501,NA,NA,-0.29696422
Marimastat,LINCSCP_102325,HELA,0.37uM,24h,3,0.25290101,NA,NA,NA
MLS001173269,LINCSCP_5671,A549,10uM,6h,NA,0.25283121,NA,NA,NA
BRD-K85751793,LINCSCP_65532,VCAP,10uM,6h,NA,0.25274185,NA,-0.21514746,NA
KU-55933,LINCSCP_84410,ASC,10uM,24h,NA,0.25246738,NA,NA,NA
HY-11007,LINCSCP_83716,ASC.C,10uM,24h,NA,0.25238749,NA,NA,NA
Broad-Sai-560,LINCSCP_49257,PC3,10uM,24h,NA,0.25224165,NA,NA,NA
ZM323881,LINCSCP_14489,HA1E,10uM,24h,NA,0.25221546,NA,NA,NA
MLS003129936,LINCSCP_60228,VCAP,5uM,24h,NA,0.25217178,NA,NA,NA
501919-59-1,LINCSCP_25070,HT115,100uM,6h,NA,0.25200704,0.20569435,-0.24981569,NA
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",LINCSCP_39975,NCIH1836,10uM,6h,NA,0.25198219,NA,NA,NA
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",LINCSCP_39975,NCIH1836,10uM,6h,NA,0.25198219,NA,NA,NA
CHEMBL3186722,LINCSCP_35294,MCF7,10uM,24h,NA,0.25193371,NA,NA,NA
PF477736,LINCSCP_51951,SKBR3,0.1uM,6h,NA,0.25188584,NA,NA,NA
BS-181,LINCSCP_164512,SKL.C,3.33uM,24h,NA,0.2518421,NA,NA,NA
181144-66-1,LINCSCP_108836,HELA,0.37uM,24h,NA,0.25181001,NA,NA,NA
GR-79236,LINCSCP_204662,ASC,10uM,24h,NA,0.25173582,NA,NA,NA
CHEMBL1609579,LINCSCP_31753,MCF7,10uM,6h,NA,0.25171614,NA,0.24991192,NA
Cytosporone B,LINCSCP_54667,SW948,10uM,6h,NA,0.25156364,NA,NA,NA
Phenazopyridine,LINCSCP_14297,HA1E,10uM,6h,4,0.25142826,NA,NA,NA
BRD-K76999748,LINCSCP_16883,HA1E,10uM,6h,NA,0.25141836,NA,0.21505876,NA
BRD-K67414432-001-01-4,LINCSCP_59254,VCAP,10uM,24h,NA,0.25080972,NA,NA,NA
Lexibulin,LINCSCP_72278,A375,0.04uM,24h,2,0.25077875,NA,NA,NA
CHEMBL318111,LINCSCP_13679,HA1E,10uM,24h,NA,0.25074623,NA,NA,NA
Candesartan,LINCSCP_125302,HT29,10uM,24h,4,0.25062318,NA,NA,NA
Candesartan,LINCSCP_125302,HT29,10uM,24h,3,0.25062318,NA,NA,NA
Dextromethorphan,LINCSCP_14442,HA1E,10uM,24h,4,0.25026903,NA,NA,NA
PF-562271,LINCSCP_127556,HT29,0.12uM,24h,1,0.24985624,NA,NA,NA
Motesanib,LINCSCP_133526,MCF7,10uM,24h,3,0.24951567,NA,NA,NA
W 5,LINCSCP_311,A375,10uM,24h,NA,0.24942821,NA,NA,NA
Apoptosis Activator II,LINCSCP_14026,HA1E,10uM,24h,NA,0.24942696,NA,NA,NA
MLS002703103,LINCSCP_1107,A375,10uM,24h,NA,0.24936659,NA,NA,NA
BX-795,LINCSCP_165077,SKL.C,0.04uM,24h,NA,0.24934862,NA,NA,NA
Doxazosin,LINCSCP_104521,HELA,1.11uM,24h,4,0.24933609,NA,NA,0.25921651
AC1MJ3VH,LINCSCP_168826,YAPC,0.37uM,24h,NA,0.24925677,NA,NA,NA
(-)-Chlorpheniramine,LINCSCP_154,A375,10uM,6h,NA,0.24912075,NA,NA,NA
Aphidicolin,LINCSCP_76620,A375,1.11uM,24h,NA,0.24907315,NA,NA,NA
BRD-K22253301,LINCSCP_303267,VCAP,5uM,6h,NA,0.24898219,NA,-0.24080313,NA
Indomethacin,LINCSCP_4232,A549,10uM,24h,4,0.24893906,NA,NA,NA
BRD-K69295800,LINCSCP_59974,VCAP,5uM,6h,NA,0.24893784,NA,-0.253556,NA
Ercalcitriol,LINCSCP_96690,HA1E,10uM,24h,NA,0.24887554,NA,NA,NA
Merbarone,LINCSCP_96312,HA1E,10uM,24h,NA,0.24876413,NA,NA,NA
MLN-8054,LINCSCP_187517,A375,0.1uM,6h,1,0.24869429,NA,NA,NA
BRD-K18310625,LINCSCP_61022,VCAP,5uM,24h,NA,0.248588,NA,NA,NA
TORIN1,LINCSCP_120421,HT29,1.11uM,24h,NA,0.2483919,NA,NA,NA
BAY 87-2243,LINCSCP_78659,A375,3.33uM,24h,NA,0.24816074,NA,NA,NA
BRD-K18059480,LINCSCP_33824,MCF7,10uM,24h,NA,0.24810323,NA,NA,NA
Ixabepilone,LINCSCP_169920,YAPC,10uM,24h,4,0.24806316,NA,-0.21401167,NA
4LY1,LINCSCP_35439,MCF7,10uM,6h,NA,0.24802894,NA,NA,NA
GSK962040,LINCSCP_102482,HELA,0.04uM,24h,2,0.24800195,NA,NA,NA
Kinetin Riboside,LINCSCP_41766,NKDBA,10uM,24h,NA,0.24792485,NA,NA,NA
CHEMBL566722,LINCSCP_25982,HT29,10uM,24h,NA,0.2478799,NA,NA,NA
BRD-K57166447,LINCSCP_61895,VCAP,5uM,6h,NA,0.24777804,NA,NA,NA
BRD-K67663786,LINCSCP_302397,VCAP,5uM,6h,NA,0.24766752,NA,NA,NA
KSC-16-144,LINCSCP_31180,MCF7,10uM,24h,NA,0.24747496,NA,NA,NA
Ellagic acid,LINCSCP_134848,MCF7,10uM,24h,2,0.24713607,NA,NA,NA
1-(3-Chlorophenyl)-4-hexylpiperazine,LINCSCP_33274,MCF7,10uM,6h,NA,0.24711311,NA,NA,NA
CX-4945 (Silmitasertib),LINCSCP_108355,HELA,1.11uM,24h,2,0.2470163,NA,NA,NA
AQ-RA-741,LINCSCP_11326,ASC,10uM,24h,NA,0.24693806,NA,NA,-0.20618138
MLS001033149,LINCSCP_6084,A549,10uM,6h,NA,0.24686668,NA,NA,NA
Clofoctol,LINCSCP_105339,HELA,10uM,24h,NA,0.24681805,NA,NA,NA
CCG-208038,LINCSCP_43547,NPC,10uM,6h,NA,0.2467945,NA,NA,NA
BRD-K64589075,LINCSCP_249030,MCF7,5uM,24h,NA,0.24677473,NA,NA,NA
CGP 60474,LINCSCP_69073,A375,0.12uM,24h,NA,0.24664189,0.2577795,NA,NA
Sorafenib,LINCSCP_87926,HA1E,10uM,24h,4,0.24663116,NA,NA,NA
Zamifenacin,LINCSCP_25376,HT29,10uM,6h,NA,0.24658147,NA,NA,NA
BRD-K96194602,LINCSCP_65548,VCAP,10uM,6h,NA,0.24649218,NA,-0.23278486,-0.24727451
CYM50199,LINCSCP_57635,VCAP,10uM,6h,NA,0.24648764,NA,NA,NA
Levetiracetam,LINCSCP_96463,HA1E,3.33uM,24h,4,0.24645679,NA,NA,NA
GW620972X,LINCSCP_87503,CD34,10uM,24h,NA,0.24636489,NA,NA,NA
CHEMBL2426181,LINCSCP_31384,MCF7,10uM,24h,NA,0.24620217,NA,-0.2229308,NA
Ozagrel,LINCSCP_106646,HELA,1.11uM,24h,3,0.24597567,0.20362417,NA,NA
CDK4 Inhibitor III,LINCSCP_50423,PHH,10uM,6h,NA,0.24595309,NA,NA,-0.43169128
Mebendazole,LINCSCP_67631,MCF7,10uM,24h,4,0.2459359,NA,NA,NA
Probucol,LINCSCP_11587,ASC,10uM,24h,4,0.24591345,NA,NA,NA
BRD-K87854506,LINCSCP_61092,VCAP,5uM,24h,NA,0.24586537,NA,NA,NA
BX471,LINCSCP_127156,HT29,10uM,24h,NA,0.24579426,NA,NA,NA
NSC653260,LINCSCP_11340,ASC,10uM,24h,NA,0.24573922,NA,NA,NA
CHEMBL2357707,LINCSCP_48573,PC3,10uM,24h,NA,0.24559989,NA,NA,NA
AC1LHZKN,LINCSCP_10691,ASC,10uM,24h,NA,0.24530287,NA,NA,NA
BRD-K38294617,LINCSCP_59965,VCAP,5uM,6h,NA,0.2451602,NA,NA,NA
AC1MFZU7,LINCSCP_2259,A375,10uM,6h,NA,0.24510291,NA,NA,NA
979-32-8,LINCSCP_33436,MCF7,10uM,6h,NA,0.2450484,NA,NA,NA
BRD-K44766290,LINCSCP_59879,VCAP,5uM,24h,NA,0.24500683,0.22197817,-0.2738651,NA
BMS-707035,LINCSCP_78123,A375,0.04uM,24h,NA,0.24495895,NA,NA,NA
BRD7116,LINCSCP_285964,SKM1,10uM,6h,NA,0.24490857,NA,NA,NA
CHEMBL41721,LINCSCP_42096,NPC,10uM,24h,NA,0.24480821,NA,NA,NA
SCHEMBL8038519,LINCSCP_13087,FIBRNPC,10uM,6h,NA,0.24480649,NA,NA,NA
Avicin-G,LINCSCP_17209,HA1E,3uM,24h,NA,0.24475177,NA,NA,NA
Flutamide,LINCSCP_56859,VCAP,30uM,24h,4,0.24474229,NA,NA,NA
CICLESONIDE,LINCSCP_71991,A375,0.12uM,24h,4,0.24462957,NA,NA,NA
MEGXM0_000149,LINCSCP_22445,HEPG2,10uM,6h,NA,0.24444905,NA,NA,NA
Thiostrepton,LINCSCP_10973,ASC,10uM,24h,NA,0.24428496,NA,NA,NA
Thiostrepton,LINCSCP_10973,ASC,10uM,24h,NA,0.24428496,NA,NA,NA
Skiii,LINCSCP_9575,A549,10uM,6h,NA,0.24427266,NA,NA,NA
GNF-PF-2272,LINCSCP_6678,A549,10uM,6h,NA,0.24412077,NA,NA,NA
Tyrphostin 23,LINCSCP_14270,HA1E,10uM,6h,NA,0.24410899,NA,NA,NA
Quiflapon,LINCSCP_25530,HT29,80uM,24h,NA,0.24404039,NA,NA,NA
GBR12935,LINCSCP_52902,SKB,10uM,24h,NA,0.24388388,NA,-0.22968574,NA
Olmesartan Medoxomil,LINCSCP_161250,PC3,0.12uM,24h,4,0.24387602,NA,NA,NA
(24R)-24-Hydroxycholesterol,LINCSCP_43601,NPC,10uM,6h,NA,0.24382903,NA,NA,NA
BRD-K00566471,LINCSCP_60832,VCAP,5uM,24h,NA,0.24382074,0.23907201,NA,-0.20154571
"3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide",LINCSCP_204343,ASC,10uM,24h,NA,0.24364039,NA,NA,NA
Roquinimex,LINCSCP_105429,HELA,10uM,24h,NA,0.24344081,NA,-0.21652075,NA
BRD-K74998149,LINCSCP_65696,VCAP,10uM,24h,NA,0.24340115,NA,NA,NA
CHEMBL2354536,LINCSCP_23584,HEPG2,3uM,6h,NA,0.24339719,NA,NA,NA
Cymarigenen,LINCSCP_64842,VCAP,10uM,24h,NA,0.24323162,NA,-0.21779197,-0.25541338
Anandamide,LINCSCP_93844,HA1E,0.12uM,24h,NA,0.24318621,NA,NA,NA
Ethamivan,LINCSCP_192021,A549,10uM,6h,4,0.2430941,NA,NA,NA
Salermide,LINCSCP_52957,SKLU1,100uM,6h,NA,0.24281819,NA,NA,NA
BG-1024,LINCSCP_13308,FIBRNPC,10uM,6h,NA,0.24273628,NA,NA,NA
Chelerythrine,LINCSCP_152287,PC3,10uM,24h,NA,0.24253578,0.32882464,NA,-0.41642397
Pyrvinium pamoate,LINCSCP_43565,NPC,10uM,6h,NA,0.24251933,0.23616167,NA,-0.36366898
VU-0402605,LINCSCP_173950,YAPC,0.04uM,24h,NA,0.24238135,NA,NA,NA
CHEMBL567340,LINCSCP_1123,A375,10uM,24h,NA,0.24233024,NA,NA,NA
Ornidazole,LINCSCP_91484,HA1E,0.12uM,24h,4,0.24227446,NA,NA,NA
"N-(1,3-Benzothiazol-2-yl)thiophene-2-carboxamide",LINCSCP_5321,A549,10uM,6h,NA,0.24214443,NA,NA,NA
Arachidonyl Trifluoromethylketone,LINCSCP_644,A375,80uM,24h,NA,0.24210023,NA,NA,NA
Ondansetron,LINCSCP_178113,A375,10uM,6h,4,0.24206902,NA,NA,NA
CGS-15943,LINCSCP_67580,MCF7,10uM,6h,NA,0.24203398,NA,NA,NA
Zardaverine,LINCSCP_75293,A375,1.11uM,24h,NA,0.24197352,NA,-0.21803529,NA
Guggulsterone,LINCSCP_14002,HA1E,10uM,24h,NA,0.24192692,NA,NA,NA
Sulpiride,LINCSCP_155154,PC3,0.37uM,24h,4,0.24175187,NA,NA,-0.21250646
Androstenedone,LINCSCP_6815,A549,10uM,24h,NA,0.24170789,NA,NA,NA
MEGXM0_000203,LINCSCP_50261,PHH,3uM,24h,NA,0.24165951,NA,NA,NA
MOXIDECTIN,LINCSCP_95343,HA1E,3.33uM,24h,NA,0.24158461,NA,NA,NA
Apomorphine,LINCSCP_142941,MCF7,0.12uM,24h,4,0.24143277,NA,NA,NA
MLS000518920,LINCSCP_6026,A549,10uM,6h,NA,0.24129849,NA,NA,NA
BRD-K46381939,LINCSCP_65980,VCAP,10uM,24h,NA,0.24128842,NA,NA,NA
BRD-K77282409,LINCSCP_298165,VCAP,5uM,6h,NA,0.24128706,NA,-0.25540923,NA
27277-00-5,LINCSCP_290693,VCAP,10uM,24h,NA,0.24126826,-0.20891075,NA,NA
Ketotifen,LINCSCP_37313,MCF7,0.5uM,6h,4,0.24125172,NA,NA,NA
VE-821,LINCSCP_133952,MCF7,0.37uM,24h,NA,0.24106956,NA,NA,NA
ChEBI91594,LINCSCP_42696,NPC,10uM,24h,NA,0.24101096,0.2218892,NA,NA
MLS006011051,LINCSCP_134167,MCF7,0.12uM,24h,NA,0.24100993,NA,NA,NA
MLS001065857,LINCSCP_30988,MCF7,10uM,24h,NA,0.24093559,NA,NA,NA
BRD-K12980773,LINCSCP_306730,VCAP,5uM,24h,NA,0.24092202,NA,NA,NA
SCHEMBL14823984,LINCSCP_57676,VCAP,10uM,6h,NA,0.24088505,NA,NA,NA
FOXY-5,LINCSCP_260087,NEU,10uM,6h,NA,0.24088396,NA,NA,NA
Nalbuphine,LINCSCP_291492,VCAP,10uM,6h,4,0.24081928,NA,NA,NA
MLS000583951,LINCSCP_6008,A549,10uM,6h,NA,0.24063527,0.24301576,NA,NA
Boldine,LINCSCP_290024,VCAP,10uM,24h,NA,0.24062107,NA,NA,NA
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",LINCSCP_66305,WSUDLCL2,20uM,6h,NA,0.24059422,NA,NA,NA
CHEMBL2135417,LINCSCP_32374,MCF7,10uM,6h,NA,0.24047019,NA,NA,NA
Teniposide,LINCSCP_11230,ASC,10uM,24h,NA,0.24043762,NA,NA,NA
"Ingenol 3,20-dibenzoate",LINCSCP_9151,A549,0.01uM,24h,NA,0.24038584,NA,-0.21070693,NA
Romidepsin,LINCSCP_158085,PC3,10uM,24h,NA,0.24030554,NA,NA,-0.26594609
SMR000798352,LINCSCP_1250,A375,10uM,24h,NA,0.24030522000000001,NA,NA,NA
C30H33N3O5S,LINCSCP_39341,MDAMB231,1uM,24h,NA,0.24019736,NA,NA,NA
RS102895,LINCSCP_30399,MCF7,10uM,6h,NA,0.24014233,NA,NA,NA
CCG-208112,LINCSCP_43610,NPC,10uM,6h,NA,0.24000668,NA,NA,NA
Bimatoprost,LINCSCP_77999,A375,3.33uM,24h,NA,0.23994379,NA,NA,NA
BRD-K92923799-001-01-0,LINCSCP_47674,PC3,10uM,24h,NA,0.23983225,NA,NA,NA
CHEMBL578162,LINCSCP_57407,VCAP,10uM,6h,NA,0.23966774,NA,NA,NA
CHEMBL2356693,LINCSCP_16796,HA1E,10uM,6h,NA,0.23954779,NA,NA,NA
pancuronium,LINCSCP_107739,HELA,0.37uM,24h,NA,0.23950537,NA,NA,NA
BRD-K83072410,LINCSCP_62106,VCAP,5uM,6h,NA,0.23947925,NA,NA,NA
Chloroxine,LINCSCP_71546,A375,10uM,24h,4,0.23947655,NA,NA,NA
BL003-049-HDAC3,LINCSCP_10081,A549,10uM,24h,NA,0.23941296,NA,NA,NA
CHEMBL3347630,LINCSCP_82272,A549,1.11uM,24h,NA,0.23937314,NA,NA,NA
Hinokitiol,LINCSCP_11289,ASC,10uM,24h,NA,0.23936015,NA,NA,NA
BRD-K70068422,LINCSCP_61368,VCAP,5uM,6h,NA,0.23927987,NA,-0.2221203,NA
BRD-K50777342,LINCSCP_310154,VCAP,30uM,6h,NA,0.2392605,NA,NA,NA
BRD-K91730835,LINCSCP_61924,VCAP,5uM,6h,NA,0.23925406,NA,-0.22187857,NA
Istaroxime (hydrochloride),LINCSCP_144084,MCF7,3.33uM,24h,NA,0.23921515,NA,NA,NA
Topiramate,LINCSCP_89595,HA1E,0.04uM,24h,4,0.23909812,NA,NA,NA
KUC103658,LINCSCP_1727,A375,10uM,6h,NA,0.23907726,NA,-0.28737967,NA
Emtricitabine,LINCSCP_94663,HA1E,0.04uM,24h,4,0.23899561,NA,-0.2537984,NA
SMR000206936,LINCSCP_5620,A549,10uM,6h,NA,0.2388623,NA,NA,NA
Broad-Sai-045,LINCSCP_35511,MCF7,3uM,24h,NA,0.23882419,NA,NA,NA
AC1LEPRU,LINCSCP_34233,MCF7,10uM,6h,NA,0.2384445,NA,NA,NA
BRD-K29407738,LINCSCP_65438,VCAP,10uM,6h,NA,0.23838055,NA,-0.22363974,NA
SPECTRUM1505012,LINCSCP_14659,HA1E,10uM,24h,NA,0.2383704,NA,NA,NA
GSK256066,LINCSCP_157050,PC3,10uM,24h,NA,0.23830973,NA,NA,NA
"N,N-Dimethyl-n'-{5-[(2-methyl-4-quinolyl)thio]-1,3,4-thiadiazol-2-yl}iminoformamide",LINCSCP_6213,A549,10uM,24h,NA,0.23829417,0.22826658,NA,NA
Rolipram,LINCSCP_284843,SKB,10uM,24h,2,0.23827146,NA,NA,NA
Calcipotriene,LINCSCP_4231,A549,10uM,24h,4,0.23808875,NA,NA,NA
BRD-K54335715,LINCSCP_43142,NPC,10uM,24h,NA,0.23789988,NA,-0.2100444,NA
CHEMBL578159,LINCSCP_238586,MCF7,10uM,6h,NA,0.23767914,NA,NA,NA
F1061-0166,LINCSCP_203406,ASC,10uM,24h,NA,0.2376156,NA,-0.25475946,NA
Penfluridol,LINCSCP_51107,RMUGS,30uM,6h,NA,0.23759891,NA,NA,NA
BRD-K40690989,LINCSCP_311709,VCAP,10uM,24h,NA,0.23755642,NA,-0.25052659,-0.213211
H 8,LINCSCP_52578,SKB,10uM,24h,NA,0.23754423,NA,NA,NA
ANISODAMINE HYDROBROMIDE,LINCSCP_89612,HA1E,0.12uM,24h,NA,0.23752863,0.26957054,NA,-0.21239441
BRD-K24077273,LINCSCP_62355,VCAP,5uM,6h,NA,0.23752396,NA,NA,NA
CHEMBL258148,LINCSCP_44886,PC3,90uM,24h,NA,0.23750521,NA,NA,NA
CHEMBL1552615,LINCSCP_225231,HT29,10uM,6h,NA,0.237471,NA,NA,NA
11K-629S,LINCSCP_189818,A549,10uM,6h,NA,0.23745858,NA,NA,NA
"Ethyl 1-benzyl-4,5-dioxopyrrolidine-3-carboxylate",LINCSCP_11391,ASC,10uM,24h,NA,0.23741809,NA,NA,NA
KUC104123,LINCSCP_1714,A375,10uM,6h,NA,0.2373219,NA,NA,NA
ZK-93423,LINCSCP_33749,MCF7,10uM,6h,NA,0.23725982,NA,NA,NA
CHEMBL3182128,LINCSCP_48536,PC3,10uM,24h,NA,0.23721264,NA,NA,NA
BRD-K76896049,LINCSCP_62227,VCAP,5uM,6h,NA,0.23711879,NA,NA,NA
844499-71-4,LINCSCP_100990,HCC515,0.12uM,24h,NA,0.23710832,NA,NA,NA
Conivaptan HCl,LINCSCP_170632,YAPC,0.12uM,24h,NA,0.2370072,NA,-0.22947894,NA
CHEMBL277800,LINCSCP_44102,PC3,10uM,6h,NA,0.23692169,NA,NA,NA
BRD-K65196043,LINCSCP_60119,VCAP,5uM,6h,NA,0.23691087,NA,-0.28079397,NA
Fidaxomicin,LINCSCP_94044,HA1E,10uM,24h,NA,0.23690286,NA,NA,NA
TW 37,LINCSCP_54208,SW620,10uM,6h,NA,0.2368709,0.36139491,NA,-0.40358653
Hyoscyamine,LINCSCP_47517,PC3,10uM,24h,NA,0.23686017,NA,NA,NA
Hyoscyamine,LINCSCP_47517,PC3,10uM,24h,NA,0.23686017,NA,NA,NA
Avicin-D,LINCSCP_49411,PC3,3uM,6h,NA,0.23678502,NA,NA,NA
MLS002703102,LINCSCP_45330,PC3,10uM,24h,NA,0.23673575,0.3120544,NA,-0.3782968
MLS002264455,LINCSCP_1408,A375,10uM,24h,NA,0.23643944,NA,NA,NA
MLS003129148,LINCSCP_60563,VCAP,5uM,24h,NA,0.23643787,NA,NA,NA
BRD-K59746807,LINCSCP_61251,VCAP,5uM,24h,NA,0.23638597,NA,NA,NA
U-0126,LINCSCP_58963,VCAP,10uM,24h,NA,0.2363523,NA,NA,NA
MLN9708,LINCSCP_172710,YAPC,0.04uM,24h,NA,0.2362904,NA,NA,NA
BRD-K70077013,LINCSCP_63240,VCAP,5uM,24h,NA,0.23619255,NA,NA,NA
CHEMBL2133997,LINCSCP_296488,VCAP,5uM,24h,NA,0.23615975,NA,NA,NA
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,LINCSCP_107971,HELA,1.11uM,24h,3,0.23614542,NA,-0.28770862,NA
AZ20,LINCSCP_128985,HUVEC,3.33uM,24h,NA,0.23603932,NA,NA,NA
Lonafarnib,LINCSCP_94320,HA1E,3.33uM,24h,3,0.23602754,NA,NA,NA
NSC 663284,LINCSCP_92,A375,10uM,6h,NA,0.23602513,NA,NA,NA
Strophanthidin,LINCSCP_50241,PHH,10uM,24h,NA,0.23592194,NA,NA,NA
NEFIRACETAM,LINCSCP_107468,HELA,0.04uM,24h,2,0.23591198,0.22415023,NA,NA
Lestaurtinib,LINCSCP_49936,PHH,10uM,24h,3,0.23583668,0.2077962,-0.20292633,NA
L-Sulforaphane,LINCSCP_94187,HA1E,10uM,24h,NA,0.235819,NA,NA,NA
OSI-930,LINCSCP_83057,ASC.C,10uM,24h,1,0.23580627,NA,NA,NA
PIK-93,LINCSCP_115316,HS578T,1.11uM,3h,NA,0.23572913,NA,NA,NA
BRD-K54029516,LINCSCP_60976,VCAP,5uM,6h,NA,0.23571442,NA,NA,NA
"7,8-Dihydroxychlorpromazine",LINCSCP_43235,NPC,10uM,24h,NA,0.23568371,NA,NA,NA
Diphenyleneiodonium,LINCSCP_11462,ASC,10uM,24h,NA,0.23551887,NA,NA,NA
LY2886721,LINCSCP_71670,A375,0.04uM,24h,NA,0.23550992,NA,-0.24480005,NA
BRD-K71611609,LINCSCP_62575,VCAP,5uM,6h,NA,0.23547552,NA,NA,NA
AZD-8055,LINCSCP_69317,A375,0.37uM,24h,1,0.23546682,NA,NA,NA
CP466722,LINCSCP_24487,HS578T,1uM,6h,NA,0.23535206,NA,NA,NA
Enalapril,LINCSCP_10245,A549,3uM,6h,4,0.23534061,NA,NA,NA
BRD-K07569193,LINCSCP_41706,NKDBA,1uM,24h,NA,0.23507236,NA,NA,NA
brefeldin-a,LINCSCP_160196,PC3,10uM,24h,NA,0.235016,0.20481011,NA,NA
BRD-K38586507,LINCSCP_199299,A549,5uM,24h,NA,0.23501198,NA,NA,NA
Vinpocetine,LINCSCP_171828,YAPC,10uM,24h,4,0.23494349,NA,NA,NA
Pidotimod,LINCSCP_168539,YAPC,0.12uM,24h,NA,0.23491941,NA,NA,NA
CHEMBL2140651,LINCSCP_27720,HT29,5uM,24h,NA,0.23490084,NA,NA,NA
PLX-4720,LINCSCP_81231,A549,0.04uM,24h,NA,0.23484756,NA,NA,NA
FR-180204,LINCSCP_30062,MCF10A,0.1uM,6h,NA,0.23483742,NA,NA,NA
SCHEMBL17857056,LINCSCP_36485,MCF7,10uM,24h,NA,0.23482689,NA,NA,NA
BRD-K96345282,LINCSCP_61303,VCAP,5uM,24h,NA,0.23480412,NA,-0.23391195,NA
ALD1-H_001009,LINCSCP_10807,ASC,10uM,24h,NA,0.23473961,NA,NA,NA
TORIN-2,LINCSCP_115279,HS578T,3.33uM,3h,NA,0.23455598,NA,NA,NA
Tyrphostin AG-1478,LINCSCP_51192,RMUGS,60uM,6h,NA,0.23450469,NA,NA,NA
MLS002264452,LINCSCP_45519,PC3,10uM,24h,NA,0.23449454,NA,NA,NA
Pioglitazone,LINCSCP_140327,MCF7,10uM,24h,4,0.23446294,NA,NA,NA
Docosatrienoic acid (22:3 n-3),LINCSCP_204556,ASC,10uM,24h,NA,0.2344606,NA,NA,NA
JLK-6,LINCSCP_204106,ASC,10uM,24h,NA,0.23422326,NA,NA,NA
SCHEMBL16226502,LINCSCP_146342,NEU,10uM,24h,NA,0.23421691,NA,NA,NA
145040-37-5,LINCSCP_25159,HT29,10uM,6h,NA,0.23408674,NA,NA,NA
MLS003337117,LINCSCP_293216,VCAP,10uM,6h,NA,0.23397086,NA,NA,NA
1166227-08-2,LINCSCP_146025,MNEU.E,0.04uM,24h,NA,0.23389328,NA,NA,NA
CHEMBL2152368,LINCSCP_234630,JURKAT,0.5uM,6h,NA,0.23361579,0.2306864,-0.21510541,NA
BRD-K24750847,LINCSCP_60362,VCAP,5uM,24h,NA,0.23342899,NA,0.20930868,NA
Olomoucine,LINCSCP_44328,PC3,10uM,6h,NA,0.2333884,NA,NA,NA
